brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
BYD,Yuan Plus,2024,Base,40390.03,62.1,232.0,89.4,7.19,138.0,402.0,324.0,AWD,7,Coupe,35.4,1810.0,5,0,China,Mid-range,138054,3.39,4
Tesla,Cybertruck,2024,Long Range,45682.18,109.7,377.0,312.9,5.32,165.0,335.0,376.0,RWD,5,Truck,63.3,2562.0,4,2,US,Mid-range,170687,3.94,4
Mercedes,EQE,2025,Standard,103044.63,78.9,264.0,128.1,7.97,132.0,592.0,542.0,AWD,5,Van,63.3,1542.0,5,1,Germany,Luxury,75663,3.56,5
Ford,Mustang Mach-E,2026,Long Range,53193.55,98.0,364.0,83.3,5.19,173.0,541.0,487.0,RWD,7,Van,70.2,1783.0,4,2,US,Mid-range,23578,3.93,4
Honda,e:Ny1,2026,Performance,51309.25,118.5,410.0,188.1,3.03,200.0,742.0,677.0,RWD,5,Sedan,36.5,1557.0,5,1,Japan,Mid-range,6885,3.78,5
Xiaomi,SU7,2024,Performance,102584.09,74.5,250.0,185.6,3.7,195.0,1000.0,937.0,AWD,5,Hatchback,38.5,1831.0,5,0,China,Luxury,19780,3.36,4
Kia,Sportage EV,2024,Long Range,99048.18,89.0,324.0,92.3,5.55,168.0,1000.0,907.0,FWD,7,SUV,40.6,2057.0,5,0,South Korea,Premium,55742,3.56,4
Ford,Mustang Mach-E,2023,Base,67976.38,49.0,179.0,107.9,5.74,166.0,778.0,690.0,AWD,7,SUV,39.7,2302.0,4,0,US,Premium,21067,3.27,3
Toyota,bZ4X,2023,Standard,69285.92,67.1,201.0,99.7,5.12,168.0,831.0,745.0,AWD,7,Hatchback,36.2,1552.0,5,1,Japan,Premium,15625,3.58,4
Mercedes,EQC,2024,Performance,167898.8,106.0,375.0,218.2,3.4,200.0,1000.0,941.0,RWD,5,Coupe,24.5,1729.0,4,1,Germany,Luxury,20936,4.04,6
BYD,Qin,2025,Standard,36623.25,43.3,164.0,149.8,7.7,139.0,344.0,318.0,FWD,5,Truck,59.5,2509.0,5,0,China,Mid-range,185983,3.42,5
Volkswagen,ID.5,2025,Base,30097.01,74.3,267.0,58.6,7.84,127.0,150.0,200.0,AWD,7,Coupe,36.6,1883.0,5,0,Germany,Budget,289031,3.27,5
Tesla,Model S,2023,Performance,82511.11,85.6,289.0,232.0,4.31,180.0,553.0,487.0,FWD,5,Coupe,35.2,1518.0,4,2,US,Premium,243479,3.78,5
Toyota,bZ Compact SUV,2022,Performance,56751.98,90.8,324.0,228.5,3.6,191.0,598.0,543.0,RWD,5,SUV,50.7,2143.0,5,1,Japan,Mid-range,9887,3.39,3
Kia,EV6,2024,Base,30277.36,62.3,226.0,143.8,5.42,172.0,150.0,200.0,RWD,5,Van,75.2,1644.0,5,1,South Korea,Budget,130299,3.2,5
BYD,Qin,2024,Performance,103480.37,104.9,347.0,176.2,2.95,200.0,1000.0,907.0,RWD,7,SUV,64.3,2052.0,4,0,China,Luxury,211837,3.58,5
BMW,i7,2026,Base,48107.44,41.6,150.0,139.0,5.91,169.0,156.0,200.0,AWD,7,SUV,45.9,2060.0,4,1,Germany,Mid-range,49300,3.02,7
Kia,Sportage EV,2023,Premium,102070.65,49.5,174.0,64.3,5.56,163.0,1000.0,940.0,FWD,7,SUV,50.1,1859.0,3,2,South Korea,Luxury,148039,3.37,4
Volkswagen,ID.3,2025,Premium,94110.75,60.5,194.0,64.0,6.75,149.0,1000.0,888.0,AWD,7,Van,70.2,1687.0,5,1,Germany,Premium,225387,3.43,4
Tesla,Cybertruck,2025,Standard,125305.65,42.0,158.0,277.7,6.96,136.0,868.0,786.0,AWD,7,Truck,57.9,2372.0,4,2,US,Luxury,199754,3.28,5
BMW,i7,2026,Performance,116974.41,71.9,251.0,175.3,3.87,190.0,1000.0,909.0,RWD,5,Truck,53.7,2650.0,5,2,Germany,Luxury,50944,3.38,6
Hyundai,Ioniq 6,2024,Long Range,84751.75,83.1,305.0,97.4,5.49,169.0,1000.0,924.0,RWD,5,Van,61.0,1511.0,5,0,South Korea,Premium,53893,3.55,3
Ford,Explorer EV,2025,Standard,65329.39,49.5,157.0,137.3,6.01,165.0,671.0,629.0,RWD,7,Coupe,22.0,1592.0,4,2,US,Premium,24686,3.21,4
Hyundai,Ioniq,2026,Long Range,78614.71,78.0,278.0,57.5,5.83,159.0,987.0,924.0,FWD,5,Truck,67.3,2653.0,5,2,South Korea,Premium,126223,3.68,4
Mercedes,GLE EV,2026,Standard,135101.31,74.2,242.0,110.8,5.12,181.0,807.0,733.0,FWD,5,SUV,59.2,2160.0,4,2,Germany,Luxury,54508,3.82,5
Kia,Niro EV,2023,Premium,96493.02,59.1,207.0,89.9,7.25,146.0,1000.0,965.0,RWD,7,Van,79.0,1729.0,5,2,South Korea,Premium,123691,3.45,4
Kia,EV9,2023,Base,52108.05,65.9,230.0,119.1,6.72,152.0,531.0,442.0,FWD,5,SUV,53.0,1976.0,5,0,South Korea,Mid-range,98868,3.23,3
Audi,e-tron,2023,Base,93510.78,53.0,195.0,63.5,5.08,161.0,659.0,562.0,AWD,5,Hatchback,16.9,1834.0,5,1,Germany,Premium,70832,3.16,6
Volkswagen,ID.4,2024,Standard,78233.39,46.6,161.0,105.0,7.69,139.0,824.0,725.0,FWD,5,Coupe,19.5,1684.0,4,1,Germany,Premium,259295,3.2,3
Tesla,Model S,2025,Base,101976.23,83.7,284.0,268.2,7.24,139.0,754.0,680.0,FWD,5,Hatchback,27.1,1882.0,5,2,US,Luxury,160905,3.89,5
Tesla,Model Y,2024,Standard,110000.94,53.4,163.0,322.5,5.33,172.0,809.0,763.0,AWD,5,Sedan,16.1,1577.0,4,2,US,Luxury,414109,3.55,4
GM/Chevrolet,Equinox EV,2025,Performance,83117.35,106.5,362.0,215.7,3.06,200.0,1000.0,888.0,AWD,5,SUV,59.7,1801.0,3,1,US,Premium,17250,3.59,4
BMW,i7,2025,Premium,107462.71,63.0,242.0,78.9,5.42,175.0,929.0,805.0,RWD,5,Sedan,34.2,1736.0,5,2,Germany,Luxury,59946,3.37,7
GM/Chevrolet,Blazer EV,2022,Standard,55685.25,80.4,288.0,51.4,6.05,158.0,670.0,592.0,FWD,7,Sedan,39.9,1642.0,4,0,US,Mid-range,22694,3.58,4
BYD,Max,2026,Performance,90766.48,91.0,318.0,231.3,2.7,200.0,1000.0,928.0,FWD,5,Sedan,29.3,1500.0,4,0,China,Premium,205278,3.53,3
Tesla,Model Y,2026,Base,111102.01,57.5,194.0,273.3,7.1,140.0,805.0,733.0,FWD,5,Sedan,30.0,1767.0,5,2,US,Luxury,457566,3.79,5
Tesla,Cybertruck,2026,Base,121350.3,82.3,289.0,226.3,7.42,130.0,930.0,825.0,AWD,5,Truck,72.6,2759.0,5,3,US,Luxury,144677,3.86,6
BYD,Qin,2025,Base,43868.55,77.3,290.0,123.0,5.63,165.0,450.0,423.0,FWD,5,Coupe,35.5,1761.0,5,1,China,Mid-range,211394,3.74,3
Kia,EV9,2026,Long Range,37918.56,79.9,304.0,103.8,4.71,182.0,284.0,216.0,AWD,5,SUV,42.9,2341.0,5,0,South Korea,Mid-range,92798,3.66,3
Volkswagen,ID.5,2023,Premium,87378.56,46.6,155.0,73.9,5.68,162.0,1000.0,866.0,AWD,7,Truck,70.7,2532.0,3,0,Germany,Premium,280958,3.26,5
Volkswagen,ID. Aero,2025,Long Range,98049.57,79.3,271.0,109.3,5.08,178.0,1000.0,925.0,FWD,7,Truck,78.8,2544.0,4,0,Germany,Premium,232457,3.53,3
Audi,Q6 e-tron,2025,Base,91070.12,66.4,224.0,134.5,7.09,152.0,640.0,596.0,AWD,5,Sedan,21.5,1500.0,3,1,Germany,Premium,69627,3.71,7
BYD,Dolphin,2026,Base,33590.41,74.1,252.0,145.1,7.81,140.0,320.0,319.0,AWD,7,Truck,59.1,2166.0,4,1,China,Budget,225478,3.58,5
Hyundai,Ioniq 5,2023,Long Range,51553.1,75.3,265.0,102.7,5.85,174.0,530.0,474.0,RWD,5,Coupe,25.8,1500.0,5,0,South Korea,Mid-range,110986,3.76,4
Ford,Mustang Mach-E,2025,Base,31921.1,77.2,284.0,63.3,5.86,172.0,250.0,221.0,AWD,5,Coupe,16.0,1500.0,5,2,US,Budget,21264,3.57,5
Volkswagen,ID.4,2024,Long Range,67460.11,97.9,324.0,92.4,4.29,180.0,681.0,643.0,FWD,7,Truck,78.7,2596.0,4,0,Germany,Premium,219503,3.66,3
BMW,i7,2025,Standard,56108.72,78.4,280.0,142.2,5.11,178.0,253.0,262.0,AWD,5,Hatchback,24.8,1729.0,5,1,Germany,Mid-range,32771,3.55,5
Mercedes,EQS,2024,Performance,175695.73,119.3,421.0,160.5,2.98,200.0,1000.0,867.0,AWD,5,Truck,71.5,2775.0,4,1,Germany,Luxury,47072,4.14,7
Toyota,bZ Compact SUV,2020,Base,47569.79,41.5,160.0,86.2,7.8,133.0,419.0,383.0,RWD,5,SUV,43.1,1792.0,4,0,Japan,Mid-range,28709,3.17,4
Tesla,Cybertruck,2024,Performance,68394.93,94.8,315.0,254.1,4.15,179.0,520.0,388.0,RWD,5,Truck,64.6,2391.0,5,2,US,Premium,230110,4.0,5
Rivian,R1T,2025,Standard,78693.27,63.6,243.0,115.4,5.92,171.0,624.0,547.0,RWD,4,Truck,67.1,2866.0,4,0,US,Premium,14022,3.14,6
Hyundai,Ioniq 6,2025,Standard,46340.48,70.6,240.0,88.7,7.3,133.0,473.0,446.0,FWD,5,Sedan,18.5,1585.0,3,0,South Korea,Mid-range,91894,3.21,4
BYD,Seagull,2021,Standard,73231.02,46.1,166.0,143.1,7.63,141.0,844.0,798.0,AWD,5,Sedan,24.9,1547.0,4,1,China,Premium,227938,3.21,4
Hyundai,Ioniq 6,2025,Standard,70402.19,49.9,170.0,108.8,7.04,148.0,866.0,746.0,FWD,5,Sedan,21.9,1500.0,5,1,South Korea,Premium,69074,3.3,4
Polestar,3,2024,Premium,98223.61,58.4,219.0,103.2,7.31,147.0,701.0,672.0,RWD,5,Coupe,27.3,1500.0,4,2,Sweden,Premium,3904,3.65,4
Hyundai,Ioniq,2024,Premium,39646.49,41.0,150.0,94.3,5.91,174.0,271.0,236.0,AWD,5,Hatchback,31.2,1595.0,5,0,South Korea,Mid-range,129173,3.0,3
BYD,Yuan Plus,2023,Standard,70732.36,45.3,151.0,118.3,5.92,161.0,801.0,724.0,FWD,5,Hatchback,38.9,1764.0,4,1,China,Premium,198624,3.14,3
BMW,i5,2023,Standard,106048.4,47.8,195.0,87.0,6.06,167.0,866.0,827.0,AWD,5,Hatchback,16.4,1511.0,5,1,Germany,Luxury,52016,3.3,5
BYD,Seagull,2026,Standard,75687.78,57.9,223.0,77.4,7.1,136.0,911.0,866.0,AWD,7,Sedan,31.9,1545.0,3,2,China,Premium,230330,3.4,4
Tesla,Model 3,2024,Premium,164903.76,51.1,184.0,261.5,6.48,159.0,1000.0,922.0,AWD,5,Coupe,30.2,1747.0,3,2,US,Luxury,238934,3.62,5
Tesla,Cybertruck,2025,Premium,104330.24,50.1,185.0,261.5,7.04,145.0,792.0,738.0,RWD,7,Truck,79.1,2220.0,4,2,US,Luxury,241443,3.82,6
Tesla,Model 3,2022,Premium,74667.63,60.5,201.0,228.2,6.62,159.0,552.0,490.0,AWD,5,Truck,78.2,2148.0,5,2,US,Premium,245609,3.71,4
Tesla,Model S,2024,Standard,132957.6,57.4,197.0,313.0,5.66,168.0,1000.0,900.0,RWD,7,Sedan,24.8,1603.0,5,2,US,Luxury,220563,3.46,5
Tesla,Model Y,2025,Performance,146521.88,91.7,343.0,226.2,3.18,200.0,1000.0,863.0,AWD,5,SUV,58.9,1942.0,4,2,US,Luxury,406719,4.12,5
BMW,i7,2024,Long Range,126323.43,92.6,337.0,134.2,4.57,190.0,1000.0,906.0,FWD,7,Hatchback,38.1,1500.0,5,1,Germany,Luxury,51591,3.87,6
Tesla,Model X,2025,Base,42945.26,77.0,266.0,309.9,6.79,148.0,248.0,200.0,AWD,7,SUV,66.1,1861.0,5,3,US,Mid-range,202664,3.79,5
BYD,Dolphin,2024,Long Range,38014.51,86.6,325.0,141.9,4.79,169.0,383.0,328.0,AWD,7,SUV,45.2,1687.0,5,0,China,Mid-range,241420,3.72,3
Audi,e-tron,2025,Standard,109441.61,51.1,161.0,100.9,7.02,151.0,876.0,844.0,AWD,5,Hatchback,21.6,1589.0,4,1,Germany,Luxury,27623,3.34,7
Hyundai,Ioniq 6,2026,Long Range,93179.93,102.1,351.0,126.1,4.97,181.0,1000.0,892.0,FWD,5,Sedan,16.2,1500.0,4,1,South Korea,Premium,64997,3.42,4
BMW,i5,2025,Premium,79696.27,76.5,251.0,103.6,6.21,161.0,550.0,514.0,AWD,5,Truck,60.0,2846.0,5,1,Germany,Premium,32509,3.24,5
Tesla,Model Y,2025,Standard,85878.17,49.2,188.0,238.9,6.03,164.0,605.0,592.0,RWD,7,Sedan,29.6,2009.0,4,2,US,Premium,499717,3.42,5
Tesla,Model Y,2021,Standard,49771.04,62.5,225.0,212.5,5.56,175.0,317.0,261.0,FWD,5,Coupe,34.2,1578.0,3,3,US,Mid-range,483023,3.69,5
Tesla,Model 3,2025,Premium,60544.17,81.6,287.0,247.1,5.81,158.0,384.0,366.0,RWD,5,Truck,51.2,2538.0,5,2,US,Mid-range,170776,3.98,6
Tesla,Model S,2026,Long Range,125990.82,75.3,272.0,209.9,4.94,171.0,955.0,881.0,FWD,7,Hatchback,17.1,1589.0,5,2,US,Luxury,200607,3.97,4
BYD,Seagull,2020,Long Range,48719.93,95.3,342.0,125.3,5.39,166.0,449.0,397.0,FWD,5,Coupe,30.4,1511.0,4,0,China,Mid-range,158941,3.72,4
Tesla,Model X,2022,Performance,66277.97,97.7,340.0,285.5,3.71,189.0,445.0,394.0,RWD,5,Truck,59.1,2882.0,3,2,US,Premium,108652,4.11,4
Tesla,Model Y,2025,Standard,122990.85,43.1,177.0,222.1,7.3,132.0,909.0,826.0,AWD,5,Hatchback,25.4,1500.0,4,2,US,Luxury,444103,3.49,5
Tesla,Model 3,2025,Standard,77509.32,78.6,256.0,347.7,7.73,130.0,522.0,442.0,RWD,7,Hatchback,18.0,1500.0,3,2,US,Premium,156028,3.89,4
Hyundai,Ioniq 5,2025,Base,42592.08,73.4,215.0,90.7,6.29,154.0,432.0,362.0,FWD,5,Truck,54.8,2777.0,4,0,South Korea,Mid-range,124929,3.43,4
BYD,Max,2026,Standard,42445.79,53.0,173.0,61.8,5.53,167.0,444.0,446.0,AWD,7,Coupe,34.2,1642.0,4,1,China,Mid-range,217748,3.05,5
Volkswagen,ID. Aero,2023,Performance,44275.35,90.4,308.0,211.5,4.49,180.0,363.0,288.0,AWD,7,Hatchback,36.4,1606.0,5,2,Germany,Mid-range,209760,3.52,3
Hyundai,Ioniq 6,2025,Performance,107109.36,119.6,434.0,239.3,2.87,200.0,1000.0,906.0,AWD,5,SUV,68.7,2249.0,5,1,South Korea,Luxury,92278,3.9,3
GM/Chevrolet,Bolt EV,2023,Base,38369.91,46.8,177.0,81.7,6.83,139.0,363.0,331.0,FWD,7,SUV,57.5,2174.0,5,0,US,Mid-range,19280,3.34,3
Tesla,Model S,2023,Long Range,82872.71,88.9,322.0,293.4,4.31,182.0,559.0,488.0,AWD,7,Coupe,38.0,1852.0,5,2,US,Premium,233601,3.61,5
Ford,Mustang Mach-E,2024,Premium,96727.35,71.4,233.0,128.6,7.7,140.0,1000.0,862.0,AWD,7,Hatchback,20.7,1832.0,3,1,US,Premium,75873,3.24,5
BMW,i7,2024,Base,84385.88,47.3,177.0,108.6,7.35,136.0,601.0,552.0,FWD,7,Sedan,23.5,1500.0,5,1,Germany,Premium,74771,3.09,6
Tesla,Model Y,2025,Long Range,33796.25,90.1,295.0,250.6,4.06,183.0,215.0,200.0,RWD,5,SUV,43.0,2400.0,5,2,US,Budget,476519,3.86,5
Audi,e-tron GT,2025,Base,67634.79,79.9,278.0,90.2,5.56,167.0,396.0,388.0,FWD,5,Sedan,24.9,1712.0,4,2,Germany,Premium,62437,3.52,8
Rivian,R2,2025,Long Range,105675.37,104.0,386.0,102.2,4.64,173.0,1000.0,866.0,AWD,5,SUV,63.1,2353.0,5,0,US,Luxury,25421,3.88,4
Tesla,Model X,2023,Standard,43959.45,63.9,211.0,207.5,6.67,148.0,283.0,251.0,FWD,5,SUV,62.7,1838.0,3,2,US,Mid-range,124556,3.97,4
BYD,Dolphin,2025,Base,19398.19,79.6,255.0,104.3,7.87,125.0,165.0,200.0,FWD,5,Van,71.9,1500.0,4,0,China,Budget,165718,3.4,4
Ford,Explorer EV,2026,Base,55828.42,47.5,163.0,69.0,5.68,167.0,570.0,527.0,RWD,5,Hatchback,22.3,1668.0,5,1,US,Mid-range,64449,3.39,5
GM/Chevrolet,Blazer EV,2025,Standard,55791.9,43.1,150.0,123.6,6.64,150.0,646.0,596.0,FWD,7,SUV,35.3,1903.0,5,2,US,Mid-range,16439,3.05,4
Tesla,Model 3,2025,Premium,151283.19,58.3,189.0,340.8,6.99,152.0,1000.0,918.0,AWD,5,Sedan,36.7,1557.0,5,2,US,Luxury,203592,3.49,5
BYD,Qin,2024,Performance,54577.89,119.6,427.0,156.1,4.31,190.0,567.0,531.0,AWD,5,Hatchback,27.9,1638.0,5,0,China,Mid-range,139526,3.84,5
Volkswagen,ID. Buzz,2025,Standard,55247.47,53.5,199.0,114.4,5.73,170.0,459.0,410.0,AWD,5,Sedan,34.4,1500.0,5,1,Germany,Mid-range,220284,3.29,4
Hyundai,Ioniq 6,2025,Base,37922.42,50.5,150.0,65.4,6.36,155.0,325.0,323.0,RWD,5,SUV,68.6,1992.0,3,0,South Korea,Mid-range,75225,3.06,5
Kia,EV9,2023,Base,65534.18,84.3,248.0,57.6,5.04,176.0,708.0,642.0,FWD,5,SUV,56.5,1815.0,4,1,South Korea,Premium,115671,3.43,4
Volkswagen,ID.3,2026,Standard,36867.62,42.0,175.0,63.1,6.92,148.0,259.0,233.0,RWD,7,Van,67.1,1542.0,5,1,Germany,Mid-range,299992,3.38,4
Hyundai,Ioniq 6,2023,Standard,66319.66,72.9,225.0,110.9,7.63,134.0,766.0,617.0,RWD,7,Van,77.2,1709.0,4,0,South Korea,Premium,139935,3.2,3
GM/Chevrolet,Blazer EV,2026,Standard,47749.35,64.3,253.0,114.0,5.82,170.0,522.0,467.0,RWD,7,Truck,71.9,2378.0,5,0,US,Mid-range,11602,3.26,4
Tesla,Model S,2025,Standard,75212.51,79.3,260.0,293.3,6.39,154.0,528.0,494.0,FWD,7,Sedan,37.8,1513.0,5,3,US,Premium,148099,3.93,6
BYD,Atto 3,2025,Long Range,87159.36,101.7,351.0,140.4,4.35,183.0,986.0,946.0,AWD,5,Truck,68.2,2527.0,3,1,China,Premium,204628,3.58,3
GM/Chevrolet,Bolt EUV,2021,Standard,44183.28,58.8,207.0,105.0,5.23,169.0,449.0,443.0,RWD,5,Van,64.7,1615.0,5,0,US,Mid-range,22786,3.51,4
Audi,e-tron,2023,Standard,63313.85,56.2,189.0,110.0,6.71,138.0,298.0,281.0,AWD,5,Van,72.2,1632.0,4,1,Germany,Mid-range,25175,3.27,6
Hyundai,Kona Electric,2024,Long Range,90974.8,80.4,296.0,119.4,4.7,179.0,1000.0,923.0,FWD,7,Van,72.6,1741.0,4,0,South Korea,Premium,59668,3.91,3
Hyundai,Ioniq 5,2022,Performance,81725.25,71.7,234.0,189.2,3.79,197.0,1000.0,888.0,AWD,5,Sedan,37.0,1500.0,5,1,South Korea,Premium,72070,3.48,4
Tesla,Model Y,2025,Long Range,64135.13,97.7,359.0,226.7,5.4,171.0,471.0,372.0,RWD,5,Hatchback,37.5,1742.0,4,3,US,Mid-range,427732,4.21,4
Volkswagen,ID.4,2025,Performance,91483.89,74.2,246.0,206.1,3.02,199.0,1000.0,891.0,AWD,5,Coupe,37.3,1500.0,4,1,Germany,Premium,206750,3.64,3
Hyundai,i30,2024,Premium,40685.58,66.5,247.0,65.0,6.33,159.0,381.0,313.0,AWD,7,Hatchback,18.5,1548.0,5,0,South Korea,Mid-range,143645,3.36,4
BYD,Dolphin,2025,Base,52144.09,43.5,150.0,82.6,5.11,178.0,572.0,578.0,FWD,7,Hatchback,15.2,1600.0,4,0,China,Mid-range,212512,3.12,3
BYD,Yuan Plus,2024,Base,73962.43,41.7,163.0,108.8,5.83,163.0,867.0,753.0,RWD,5,Sedan,18.4,1597.0,5,0,China,Premium,121424,3.25,3
Volkswagen,ID.5,2023,Performance,62312.34,116.7,420.0,160.5,4.17,191.0,574.0,499.0,FWD,7,Sedan,30.5,1792.0,4,0,Germany,Mid-range,298301,3.59,3
Tesla,Model 3,2024,Long Range,73678.26,106.1,370.0,204.7,4.74,177.0,505.0,433.0,RWD,5,Coupe,29.7,1536.0,5,2,US,Premium,201869,3.99,5
BYD,Leaf 50X,2021,Premium,32842.63,55.1,180.0,131.0,7.28,139.0,415.0,337.0,AWD,5,SUV,55.1,2155.0,4,1,China,Budget,173134,3.1,4
BYD,Atto 3,2023,Performance,62874.95,71.7,262.0,179.3,3.15,200.0,691.0,603.0,RWD,5,Sedan,38.9,1665.0,4,0,China,Mid-range,207361,3.74,4
BYD,Atto 3,2022,Premium,107436.09,65.7,255.0,124.5,7.71,137.0,1000.0,899.0,RWD,5,SUV,37.8,1887.0,5,1,China,Luxury,201045,3.64,3
Tesla,Model 3,2025,Premium,154568.94,68.0,235.0,285.7,5.02,170.0,1000.0,937.0,RWD,5,Coupe,21.2,1756.0,5,3,US,Luxury,245844,3.7,5
Audi,e-tron,2024,Standard,62074.39,65.3,236.0,53.7,5.78,160.0,256.0,256.0,RWD,7,SUV,53.4,2242.0,5,2,Germany,Mid-range,41240,3.53,8
Kia,EV6,2024,Performance,68316.17,76.4,262.0,155.3,3.88,189.0,785.0,658.0,RWD,7,Hatchback,23.8,1907.0,4,2,South Korea,Premium,86275,3.61,3
BMW,iX,2023,Base,98461.71,53.0,185.0,121.0,6.84,142.0,800.0,752.0,FWD,7,Sedan,27.3,1509.0,5,2,Germany,Premium,22686,3.0,7
Ford,Mustang Mach-E,2023,Premium,61500.69,61.2,209.0,73.0,6.01,154.0,616.0,524.0,AWD,7,Sedan,15.4,1576.0,5,1,US,Mid-range,52208,3.39,4
Hyundai,Ioniq 6,2024,Standard,60164.53,53.1,185.0,61.2,7.06,146.0,673.0,592.0,FWD,7,SUV,41.7,1827.0,5,1,South Korea,Mid-range,85467,3.29,5
Tesla,Model 3,2023,Standard,123171.93,71.8,246.0,208.4,6.3,150.0,907.0,860.0,FWD,5,Hatchback,24.7,1779.0,4,3,US,Luxury,165942,3.71,5
Hyundai,i30,2024,Base,35093.17,77.1,295.0,136.0,7.96,134.0,249.0,207.0,FWD,5,Van,65.6,1663.0,4,2,South Korea,Mid-range,117101,3.46,4
Kia,Niro EV,2021,Premium,101333.39,70.5,249.0,104.0,5.45,170.0,1000.0,846.0,RWD,5,Van,71.2,1660.0,4,0,South Korea,Luxury,89918,3.29,4
GM/Chevrolet,Blazer EV,2022,Long Range,54305.64,86.4,289.0,121.7,5.96,162.0,669.0,612.0,FWD,5,Van,66.9,1708.0,5,2,US,Mid-range,18445,3.56,4
Volkswagen,ID. Buzz,2025,Performance,58007.82,105.3,382.0,246.2,4.21,188.0,563.0,492.0,RWD,7,Van,67.8,1781.0,3,0,Germany,Mid-range,241176,3.98,3
Tesla,Cybertruck,2024,Performance,188964.7,106.8,367.0,318.0,4.35,193.0,1000.0,912.0,RWD,7,Truck,67.4,2274.0,4,3,US,Luxury,239165,4.27,5
BYD,Leaf 50X,2025,Standard,33650.32,63.9,231.0,79.2,7.37,134.0,332.0,340.0,AWD,7,Sedan,39.5,1698.0,4,1,China,Budget,210399,3.56,4
Volkswagen,ID. Buzz,2023,Base,31850.78,51.4,199.0,81.3,7.1,149.0,166.0,200.0,FWD,5,Sedan,30.7,1500.0,5,0,Germany,Budget,272903,3.24,3
BMW,iX,2026,Standard,111337.67,83.1,295.0,73.5,5.59,167.0,1000.0,922.0,RWD,7,Van,66.0,1641.0,4,1,Germany,Luxury,20689,3.65,7
Kia,Sportage EV,2024,Standard,56593.19,56.2,197.0,62.4,5.24,170.0,590.0,549.0,RWD,5,SUV,55.4,2177.0,4,0,South Korea,Mid-range,135755,3.26,4
Volkswagen,ID.3,2024,Base,71569.98,57.7,186.0,144.5,5.62,158.0,746.0,669.0,RWD,7,SUV,68.2,2030.0,5,1,Germany,Premium,287315,3.19,3
Porsche,Macan Electric,2023,Long Range,139594.69,75.6,252.0,292.5,4.35,179.0,611.0,473.0,FWD,7,Hatchback,25.3,1829.0,3,0,Germany,Luxury,9428,3.64,8
Kia,Niro EV,2023,Standard,42128.98,66.6,226.0,79.4,6.82,145.0,371.0,263.0,FWD,7,Hatchback,33.2,1795.0,4,0,South Korea,Mid-range,121472,3.23,4
BYD,Seagull,2023,Base,52361.13,60.0,186.0,121.5,7.42,142.0,534.0,449.0,FWD,7,Hatchback,32.1,1500.0,4,0,China,Mid-range,203886,3.06,3
Tesla,Cybertruck,2022,Performance,161513.5,115.3,420.0,223.7,2.54,200.0,1000.0,924.0,RWD,5,Truck,75.1,2605.0,4,2,US,Luxury,172224,4.09,4
Tesla,Model S,2025,Performance,99545.7,74.1,250.0,202.5,4.19,190.0,746.0,677.0,AWD,7,Hatchback,34.7,1588.0,4,2,US,Premium,244941,3.69,5
BYD,Dolphin,2023,Premium,78664.3,82.8,301.0,145.4,6.95,137.0,845.0,776.0,AWD,5,Truck,74.0,2356.0,5,1,China,Premium,238674,3.59,4
Tesla,Model Y,2022,Base,75540.09,49.6,150.0,293.4,5.78,154.0,490.0,455.0,FWD,5,Coupe,23.0,1503.0,5,2,US,Premium,455317,3.27,6
Tesla,Model S,2025,Performance,135540.84,85.8,296.0,299.2,3.77,188.0,1000.0,854.0,RWD,5,SUV,61.5,2369.0,5,3,US,Luxury,108193,3.98,5
BYD,Seagull,2024,Base,24520.21,71.2,253.0,57.5,6.21,159.0,228.0,201.0,AWD,7,Hatchback,33.7,1739.0,5,1,China,Budget,191198,3.48,5
Tesla,Model Y,2026,Base,113350.86,73.5,268.0,207.2,6.51,155.0,835.0,807.0,FWD,7,Sedan,17.4,1500.0,5,2,US,Luxury,463970,3.62,6
Audi,Q6 e-tron,2025,Base,80914.99,67.4,220.0,55.8,5.13,178.0,484.0,414.0,FWD,5,Sedan,30.0,1500.0,5,1,Germany,Premium,22856,3.44,7
Tesla,Model X,2023,Performance,84447.94,72.5,255.0,322.2,3.35,200.0,602.0,569.0,FWD,5,Sedan,36.6,1535.0,4,2,US,Premium,103295,3.51,6
Hyundai,Ioniq,2024,Base,31858.49,76.6,274.0,140.3,5.5,171.0,286.0,243.0,FWD,7,Hatchback,24.0,1538.0,3,0,South Korea,Budget,89552,3.4,5
Volkswagen,ID.5,2025,Standard,70801.47,60.4,204.0,126.5,7.51,137.0,785.0,727.0,FWD,7,SUV,66.5,1837.0,5,0,Germany,Premium,299914,3.54,4
Polestar,4,2025,Standard,80679.27,41.3,155.0,112.6,5.25,170.0,456.0,427.0,AWD,5,Hatchback,33.2,1818.0,5,0,Sweden,Premium,7428,3.03,4
Tesla,Model S,2025,Base,29088.57,79.3,262.0,230.9,6.43,148.0,150.0,200.0,FWD,7,Van,79.5,1535.0,5,2,US,Budget,173989,4.17,6
Volkswagen,ID.3,2026,Long Range,57231.82,83.1,283.0,81.4,4.75,170.0,586.0,546.0,RWD,7,Van,69.5,1604.0,4,1,Germany,Mid-range,290062,3.77,4
